1,2,3,4,5,6,USBN,UNBK
90.05,91.08,83.71,87.42,86.97,87.42,93,96
88.25,91.44,86.17,90.17,88.11,90.17,93.25,94
85,84.08,86.38,92.21,91,92.21,91.25,86
85.25,88.31,87.79,85.17,89.22,85.17,92.75,86
86.25,86.88,85.81,90.71,94.78,90.71,90,88
85.25,86.93,84.13,86.63,89.81,86.63,95,86
82,84.75,82.13,85.33,90.89,85.33,93.75,94
86,86.56,84.17,90.58,93.22,90.58,93.75,86
87.75,90.29,85.63,86.88,90.11,86.88,90.75,90
85.25,89.25,85.75,91.08,91.83,91.08,91.25,86
88,87.46,84.5,86.08,89.83,86.08,93,92
86.5,91.78,88.83,87.92,90.03,87.92,94.5,88
88.75,89.25,86.58,89.13,85.64,89.13,93.75,92
88,89.83,84.42,88.42,90.28,88.42,94.75,84
85.25,86.13,84,90.67,91.06,90.67,95.25,82
89,90.67,85.29,89.08,89.89,89.08,90.5,84
87.5,84.38,85.94,87.75,93.14,87.75,95.75,86
88.5,87.54,87.69,89.71,91.56,89.71,95.5,88
82,84.63,87.25,86.88,91.44,86.88,96.5,82
88.75,87.88,84,85.04,91.83,85.04,93.5,86
84.5,90.94,90.02,86.35,90.83,86.35,96.5,90
84.5,88.51,86.31,88.13,90.56,88.13,95,90
94,94.69,86.54,91.75,91.89,91.75,95.25,78
91.5,90.94,85.08,90.13,90.69,90.13,93.25,90
89.25,90.06,90.96,92.83,92.08,92.83,93.25,92
87.5,82.83,89.38,90.38,90.64,90.38,97.75,88
91,94.75,87.17,91.92,92.92,91.92,97.75,90
87.25,87.38,85,90.13,90.86,90.13,96.25,86
89.5,92.88,85.63,85.63,91.08,85.63,95.25,90
85.25,87.68,84.63,89.46,92.08,89.46,96.25,84
90.25,92,82.29,91.25,89.94,91.25,96.25,86
91.5,92.96,86.5,90.08,91.75,90.08,96.5,86
89.5,91.13,87.21,86.33,89.81,86.33,96,82
93.5,93.58,84.29,89.08,90.58,89.08,95.75,88
83.75,86.84,86.06,87.09,88.08,87.09,95.25,80
84.5,87.13,87.67,89.46,90.72,89.46,95,84
83.25,83.88,85.67,87.42,93.31,87.42,96,84
89.25,84.66,85.38,84.75,90.44,84.75,94,82
87.5,87.44,87.42,89.71,90.17,89.71,95.5,92
88.75,89.17,86.38,87.17,86.21,87.17,93.75,86
89,88.63,90.13,90.63,88.47,90.63,93.25,78
86.25,88.03,86.1,85.31,86.06,85.31,94.25,78
93,88.63,89.06,89.71,90.07,89.71,94.25,82
91.75,94.13,87.63,92.75,88.18,92.75,96,86
86.19,86.19,87.38,88.92,87.51,88.92,94.75,70
94,94.33,89.56,89.08,88.83,89.08,96.5,86
87.25,93,86,88.96,86.76,88.96,91.5,90
85.75,84.63,84.44,86.92,87.96,86.92,92.5,76
85.5,89.97,86.5,86.79,89.17,86.79,91.75,96
83.25,86.63,88.38,90.71,89.18,90.71,90,84
95,95.33,86.67,90.25,90.97,90.25,90.25,94
85,87.75,84.54,91.5,88.4,91.5,93,88
92,92.75,88.71,88.54,85.17,88.54,95.25,96
84.25,83.13,86.75,92.83,86.76,92.83,92.25,90
85,87.08,84.79,84.33,85.19,84.33,92.5,94
85,84.88,86.5,86.65,88.03,86.65,92.75,82
85,88.19,86.85,86.5,88.21,86.5,94,88
89,92.35,88.06,93.25,88.99,93.25,94.5,82
88,87.63,84.38,87.08,89.53,87.08,92.5,92
89,94,88.54,92.28,90.17,92.28,92.25,88
88.75,90.25,87.25,89.83,89.47,89.83,92.5,94
87.75,88.43,84.75,84.83,88.85,84.83,93.5,90
91.25,89.63,86.56,87.58,87.99,87.58,93.5,96
89,91.21,90.58,90.58,89.67,90.58,91,92
93.25,93.17,86.38,89.25,87.74,89.25,94.75,92
94.5,95.29,82.75,90.75,93.04,90.75,93.25,94
89,87.63,87.88,91.79,84.26,91.79,94.75,90
84.5,86.67,85.73,84.48,85.58,84.48,92.5,82
86.5,92.53,89.38,89.92,86.56,89.92,94.25,90
84.75,83.67,89.31,90.77,85.76,90.77,97,84
83,83.25,90.38,91.83,87.49,91.83,94.25,92
85.75,86.13,88.38,92.63,89.08,92.63,94.25,94
86.5,91.63,85,87.5,85.04,87.5,96.25,88
82,88.51,84.94,89.5,86.5,89.5,96.25,90
90.5,93.5,89.92,92,90.49,92,96.5,90
91.75,90.81,84.42,89,89.88,89,95,86
87,86.56,83.63,88.5,86.25,88.5,92.75,86
88,83.67,86.94,87.42,85.67,87.42,93.25,88
93.5,92,87.29,91.92,87.6,91.92,91.5,84
87.25,92.44,90.65,89.31,90.03,89.31,92.75,84
87.75,90.66,84.83,90.25,87.06,90.25,92,82
87.75,86.75,89.17,92.75,87.57,92.75,93.75,86
83.75,86.08,87.31,87.17,87.07,87.17,93.75,84
88,90.69,84.67,89.75,87.68,89.75,91.25,84
88.5,90.75,86.58,89.25,88.28,89.25,93.75,74
87,87.19,83.56,85.29,85.96,85.29,93.5,84
87.75,91.38,90.67,94.96,87.35,94.96,90.5,80
90.75,91.67,83.25,89.42,86.07,89.42,90.5,88
91.5,91.75,81.67,90.21,85.64,90.21,91.25,94
90.75,91.79,85.96,88.5,87.93,88.5,90.5,88
88.5,90.38,90.19,89.83,87.43,89.83,93,86
88.25,87.68,86.13,86.63,88.19,86.63,90.25,86
